Gene	Level_1	Level_2	Level_3	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17
YPL116W	5	52	528	-0.77558	-1.31756	-0.36171	0.61386	1.80621	2.023	0.29852	-0.16462	-0.75587	0.02261	-1.06135	-0.78543	-0.45039	0.56458	0.19998	1.25437	-1.11062
YGR108w	3	32	321	-1.49391	-0.82181	-1.12649	-1.10857	-0.59777	0.64785	1.57087	1.09592	0.9615	-0.51712	-0.73219	-0.81284	-0.60673	0.48655	1.11384	1.09592	0.845
YPR119w	3	32	321	-1.38564	-0.89396	-1.16215	-0.99081	-0.14154	0.52148	1.57188	2.05611	1.07275	-0.31289	-0.69282	-0.94611	-0.44698	-0.08195	0.64812	0.53638	0.64812
YAL040c	4	43	431	-0.2105	-0.36441	-0.92235	-0.92663	0.19352	-1.01855	0.41157	0.23628	-0.09293	3.45564	0.36026	-0.17202	-0.72568	-0.20622	0.16573	0.12084	-0.30456
YGL116w	2	23	232	-0.96489	-0.94733	-0.84196	-0.85952	-0.75415	-0.24484	1.26552	2.33682	1.5992	-0.06922	-0.31509	-0.70146	-0.61365	-0.56096	0.24691	0.47521	0.9494
YOL069w	5	52	528	-1.02006	-1.62852	-1.3919	-0.54682	-0.51301	1.07574	1.44757	1.65039	0.83911	-0.71583	-0.4116	-1.05386	0.39967	0.39967	0.60249	0.06164	0.80531
YGR092w	3	32	322	-1.29288	-1.07937	-1.04379	-1.20985	-0.65237	0.01186	1.17426	1.76732	1.82663	0.61678	0.01186	-0.1542	-0.65237	-0.48631	-0.35584	0.75912	0.75912
YOR058c	5	52	528	-0.35455	-0.106	-1.47302	-0.47882	-0.64452	0.63965	1.88239	1.5717	1.38529	-0.54096	-0.85164	-1.618	-0.35455	-0.37526	0.26682	0.2254	0.82606
YHR023w	4	42	421	-1.21582	-1.45476	-1.27907	-1.26501	-0.46384	0.46384	1.86941	1.49693	0.68873	0.34436	-0.23895	-0.5552	-0.70981	0.31625	0.47789	0.60439	0.92065
YPL242C	5	53	533	-1.35876	-1.04049	-1.30089	-1.09835	0.69555	0.77271	1.51534	2.06509	0.70519	-0.16282	-0.3943	-0.61612	-0.78973	-0.30749	0.09758	0.64733	0.57017
YCL037C	5	52	524	-1.51473	-0.32149	-0.99913	-0.86655	2.09445	0.48873	1.56412	1.32842	0.42981	0.68024	-0.99913	-0.96967	-0.29203	-0.07106	-0.43934	0.20884	-0.32149
YMR001c	4	43	431	-1.36982	-1.25043	-1.35192	-0.9639	-0.57588	0.3076	1.39405	1.71044	0.98216	-0.46246	-0.57588	-0.67736	0.05092	0.06286	0.71353	1.07767	0.92843
YGL021w	5	51	511	-1.45763	-1.29567	-1.10334	-1.01224	-0.25306	0.54661	1.41714	1.19444	0.71869	-0.45551	-0.91102	-0.74906	-0.32392	0.92114	1.00212	1.39689	0.36441
YCR042c	2	21	211	0.06828	0.36415	-1.02418	-1.36558	-1.33144	-0.94452	-0.13656	1.69559	1.50214	1.50214	0.62589	-0.37553	-0.94452	-0.72831	0.36415	-0.14794	0.87625
YOR025w	1	17	172	-1.29071	-1.35026	-1.14185	-1.09719	-0.75481	0.55516	1.0464	0.86777	2.28195	-0.24869	-0.32312	-0.82924	0.12347	0.43608	0.48073	0.57005	0.67425
YOR229w	5	52	528	-0.62432	-0.09195	-1.12271	-1.04342	-0.9528	-0.59034	0.78023	1.67507	1.47118	1.53915	0.10061	-0.89617	-1.17935	-0.73759	0.06663	0.74625	0.85952
YDR146c	4	43	431	-1.55821	-1.37461	-0.95554	-0.9715	-0.75199	0.1141	0.48927	0.31765	0.37752	0.1141	-0.19322	-0.61629	-0.2491	1.6986	0.92431	2.04584	0.58905
YLR131c	5	52	521	-1.3895	-1.68414	-1.42317	-0.87599	0.05001	0.39516	1.01811	0.82449	1.25382	0.71505	-0.73288	-1.06119	0.10052	1.00969	0.25205	1.28749	0.26047
YNL053w	3	32	321	-0.89511	-0.73054	-1.30022	-0.71788	0.21894	1.13043	1.71278	1.86469	0.86458	-1.16096	-0.85713	-0.45202	-0.41405	-0.37607	0.11766	1.15575	-0.16085
YKL130C	5	52	524	-1.19589	-0.66203	-1.37625	-1.13096	-0.42395	0.26142	0.61492	2.1588	1.69708	0.05941	-0.53938	-0.46002	-0.9506	0.42735	0.58606	0.92514	0.00891
YIL162w	1	11	114	1.16196	-1.05585	-1.8247	-0.96714	-0.28701	0.12698	0.77754	1.90123	1.81252	-0.13916	0.30441	-0.46444	-0.49401	-0.84886	-0.46444	0.06784	0.39312
YDL138W	4	43	432	0.96886	0.90853	-1.14276	-1.67713	-0.79801	-0.74629	-0.04816	1.10677	1.33086	0.95163	-0.00507	-1.28928	-1.17724	-0.16021	-0.00507	1.31362	0.46897
